scooter_id,service_area,scooter_model,total_trips_24h,battery_health_score,reported_issue_count_24h,taken_out_of_service
SC00001,university,QX2080,5,70.9,0,0
SC00002,university,QX1010,5,83,1,0
SC00003,downtown,QX3000,10,88.7,0,0
SC00004,university,QX2080,10,54.9,1,1
SC00005,university,QX1010,6,82.7,2,0
SC00006,university,QX3000,3,82.4,0,0
SC00007,downtown,QX2080,8,64.1,2,1
SC00008,city center,QX2080,5,81.2,0,0
SC00009,city center,QX1010,7,79.2,0,0
SC00010,downtown,QX2080,10,76.3,0,0
SC00011,downtown,QX1010,5,79,1,0
SC00012,city center,QX3000,5,75.3,3,1
SC00013,residential,QX2080,4,,0,0
SC00014,downtown,QX3000,3,79.7,1,0
SC00015,residential,QX1010,4,90.1,1,0
SC00016,university,QX1010,15,76,1,0
SC00017,residential,QX2080,11,75.1,0,0
SC00018,city center,QX1010,7,71.6,2,0
SC00019,city center,QX3000,5,80.8,1,0
SC00020,university,QX2080,6,86,0,0
SC00021,waterfront,QX2080,2,87.2,1,0
SC00022,city center,QX1010,5,77.9,-4,0
SC00023,university,QX3000,6,61,-5,0
SC00024,university,QX3000,10,74.3,3,0
SC00025,residential,QX2080,6,75.6,0,0
SC00026,downtown,QX1010,5,74.3,0,0
SC00027,university,QX2080,6,76.2,2,0
SC00028,city center,QX1010,3,90.5,1,0
SC00029,waterfront,QX1010,4,,3,0
SC00030,city center,QX2080,4,89.7,2,0
SC00031,city center,QX2080,8,65.3,0,0
SC00032,waterfront,QX3000,3,83,0,0
SC00033,city center,QX1010,9,62.3,2,0
SC00034,downtown,QX1010,12,72.8,0,1
SC00035,downtown,QX2080,8,69.2,3,0
SC00036,downtown,QX1010,7,91.3,0,0
SC00037,downtown,QX1010,5,85.5,0,0
SC00038,city center,QX2080,2,91.5,0,0
SC00039,residential,QX1010,2,80.8,0,0
SC00040,residential,QX2080,5,71.8,1,0
SC00041,downtown,QX1010,12,67.5,0,0
SC00042,university,QX3000,9,83.1,3,0
SC00043,downtown,QX2080,11,91.1,0,0
SC00044,waterfront,QX1010,4,86.3,1,0
SC00045,downtown,QX3000,7,79.2,0,0
SC00046,university,QX3000,6,81.6,0,0
SC00047,city center,QX1010,5,81.7,3,0
SC00048,university,QX1010,7,97.6,0,0
SC00049,city center,QX2080,6,90.2,0,0
SC00050,residential,QX1010,3,85.8,1,0
SC00051,downtown,QX1010,7,81.3,0,0
SC00052,waterfront,QX1010,1,87.7,4,0
SC00053,university,QX2080,4,85.5,0,0
SC00054,residential,QX2080,na,77.8,0,0
SC00055,residential,QX2080,6,,1,0
SC00056,waterfront,QX2080,2,91.7,0,0
SC00057,downtown,QX2080,7,79.1,2,0
SC00058,city center,QX2080,4,89.4,0,0
SC00059,downtown,QX1010,na,94.4,0,0
SC00060,downtown,QX1010,7,84.8,0,0
SC00061,university,QX2080,10,79.5,0,0
SC00062,waterfront,QX2080,4,100,0,0
SC00063,waterfront,QX2080,3,83.9,0,0
SC00064,university,QX2080,8,68.8,0,0
SC00065,university,QX2080,10,74.1,0,1
SC00066,residential,QX2080,5,93.7,0,0
SC00067,waterfront,QX2080,2,71.9,0,0
SC00068,downtown,QX1010,5,75.6,0,0
SC00069,university,QX1010,8,89,0,0
SC00070,residential,QX1010,4,80.5,0,0
SC00071,city center,QX1010,9,77.9,0,0
SC00072,city center,QX1010,11,86.3,0,0
SC00073,waterfront,QX3000,7,76.3,0,0
SC00074,waterfront,QX1010,3,71.1,3,0
SC00075,waterfront,QX1010,6,69.4,0,0
SC00076,residential,QX1010,1,90.1,0,0
SC00077,downtown,QX1010,8,81.8,2,0
SC00078,city center,QX2080,4,75.4,0,0
SC00079,university,QX2080,na,71.5,0,0
SC00080,university,QX2080,5,,1,0
SC00081,university,QX2080,5,90,2,0
SC00082,university,QX1010,13,68.5,1,0
SC00083,city center,QX3000,6,77.6,4,1
SC00084,residential,QX1010,5,71.9,0,0
SC00085,city center,QX1010,4,79.7,1,0
SC00086,city center,QX1010,6,84.1,0,0
SC00087,downtown,QX2080,6,97.7,2,0
SC00088,downtown,QX2080,na,80.8,0,0
SC00089,residential,QX1010,3,83.1,0,0
SC00090,city center,QX2080,5,87.8,0,0
SC00091,downtown,QX1010,10,83.9,0,0
SC00092,residential,QX2080,4,76.4,0,0
SC00093,university,QX1010,5,100,2,0
SC00094,downtown,QX1010,5,81.8,0,1
SC00095,city center,QX1010,14,76.8,2,1
SC00096,downtown,QX2080,5,85.2,0,0
SC00097,university,QX1010,6,84.1,0,0
SC00098,downtown,QX1010,4,95.8,0,0
SC00099,downtown,QX1010,11,72.2,0,0
SC00100,downtown,QX3000,9,87.5,0,0
SC00101,university,QX3000,9,82.2,0,0
SC00102,downtown,QX2080,7,87.3,0,0
SC00103,residential,QX1010,3,,2,0
SC00104,downtown,QX3000,4,81.8,0,0
SC00105,university,QX2080,9,83.5,2,1
SC00106,city center,QX2080,8,81.1,2,0
SC00107,city center,QX1010,7,73.4,0,0
SC00108,downtown,QX1010,6,92.6,2,0
SC00109,residential,QX1010,3,89.8,3,0
SC00110,residential,QX3000,6,82.6,6,0
SC00111,downtown,QX2080,9,73.3,3,0
SC00112,downtown,QX1010,6,84.3,0,0
SC00113,waterfront,QX1010,5,87.6,3,0
SC00114,university,QX2080,4,67.8,-5,0
SC00115,downtown,QX1010,3,86.8,0,0
SC00116,downtown,QX3000,7,87.9,2,0
SC00117,university,QX2080,3,62.1,0,0
SC00118,residential,QX2080,7,80.6,0,0
SC00119,university,QX1010,5,87.9,0,1
SC00120,waterfront,QX2080,3,87,0,0
SC00121,city center,QX2080,6,86.5,2,0
SC00122,city center,QX2080,4,78.5,0,0
SC00123,city center,QX1010,5,73.2,0,0
SC00124,city center,QX1010,6,65.9,1,0
SC00125,downtown,QX1010,13,84.9,2,0
SC00126,downtown,QX2080,9,83.3,3,0
SC00127,city center,QX1010,6,91.1,0,0
SC00128,residential,QX1010,4,76.6,3,0
SC00129,downtown,QX1010,7,87.2,0,0
SC00130,city center,QX2080,8,65.3,3,0
SC00131,university,QX1010,8,72.2,0,1
SC00132,university,QX3000,5,85.1,0,0
SC00133,residential,QX2080,6,85.3,0,1
SC00134,residential,QX1010,3,97.9,0,0
SC00135,residential,QX2080,5,78.5,0,0
SC00136,downtown,QX1010,8,72.2,0,1
SC00137,city center,QX3000,7,74.6,4,0
SC00138,university,QX2080,8,72.3,0,0
SC00139,downtown,QX2080,11,94.6,0,1
SC00140,downtown,QX1010,11,83.6,0,0
SC00141,downtown,QX2080,9,86.8,1,1
SC00142,city center,QX2080,8,,0,0
SC00143,city center,QX3000,5,84,0,0
SC00144,downtown,QX2080,5,86.4,2,0
SC00145,residential,QX2080,1,79.4,2,0
SC00146,waterfront,QX1010,1,82.7,0,0
SC00147,downtown,QX1010,9,73.1,1,0
SC00148,waterfront,QX2080,3,78.3,4,0
SC00149,downtown,QX1010,9,79.2,0,1
SC00150,waterfront,QX1010,2,77.4,3,0
SC00151,waterfront,QX3000,1,89.6,0,0
SC00152,downtown,QX3000,5,86.4,1,0
SC00153,residential,QX1010,6,79.7,2,1
SC00154,waterfront,QX2080,4,74.3,2,0
SC00155,waterfront,QX1010,4,83.7,2,0
SC00156,waterfront,QX2080,5,76.2,0,0
SC00157,university,QX1010,4,83.2,0,0
SC00158,downtown,QX2080,8,87.4,2,1
SC00159,residential,QX2080,4,70.7,0,0
SC00160,university,QX2080,6,98.2,0,0
